"restaurant_name","address","zip_code","restaurant_style","rating_count","avg_rating","price_range","image"
"Ejen Korean Comfort Food","254 36th St","11232","Korean Food Stands Comfort Food ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/dN4rOIIPMhqfmm6LN5TEeQ/o.jpg"
"Pelicana Chicken","47-08 Greenpoint Ave","11104","Chicken Wings Korean ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/CiOoaaQzARR6zuyzN8oCaQ/o.jpg"
"Petisco Vegano","189 E Broadway","10002","Mediterranean Breakfast & Brunch Vegan ",0,0,0,"https://s3-media2.fl.yelpcdn.com/bphoto/v59o6-OutWADGp0OhibHng/o.jpg"
"Fiaschetteria Pistoia","114 Christopher St","10014","Tuscan ",0,0,0,"https://s3-media4.fl.yelpcdn.com/bphoto/nRW8u3h6OSruRX3ICeMtpA/o.jpg"
"Four Five Six","199 Richardson St","11222","Bars Mediterranean ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/NK9cktavJQgXkpVvbpAH7Q/o.jpg"
"Ops","346 Himrod St","11237","Pizza Wine Bars Breakfast & Brunch ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/_lBY7QytGHebiQvAxtNrug/o.jpg"
"The Wild Son","53 Little W 12th St","10014","American (New) Cocktail Bars Breakfast & Brunch ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/DYgwqPcb39ihBl9dw-rpqg/o.jpg"
"Snacky","187 Grand St","11211","Asian Fusion Dim Sum Korean ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/3a3ihfFB5jp8AQTj_ouZJQ/o.jpg"
"Diner","85 Broadway","11249","Diners American (New) Breakfast & Brunch ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/RPVDxSRkzIWB1iw1Q-7FRQ/o.jpg"
"Kobeyaki","293 7th Ave","10001","Japanese Sushi Bars Burgers ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/TPhos7dF8UEafEAUWLy4hQ/o.jpg"
"Tacos El Bronco","37th St & 5th Ave","11232","Food Trucks Mexican Burgers ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/3l_xN5soFjrSzJjlY9XqWg/o.jpg"
"OTB","141 Broadway","11211","American (New) Breakfast & Brunch Cocktail Bars ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/AU9Lkx_vancc7qp4mJmOCg/o.jpg"
"The Usual","30 Kenmare St","10012","American (New) Comfort Food Burgers ",0,0,3,"https://s3-media4.fl.yelpcdn.com/bphoto/_1ioLef5fRTWG0h8Z5-77g/o.jpg"
"Taco Morelos","N 7th And Bedford Ave","11211","Mexican ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/XyX-FWMW_at2mRkIuRc6tg/o.jpg"
"Soul Food Kitchen","88 Kingston Ave","11213","Soul Food ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/be99LAEWfz2-DeVZpoxE7w/o.jpg"
"Banh Mi Saigon","198 Grand St","10013","Vietnamese Sandwiches ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/0qDco8FqOZ47wb3GYOUYlg/o.jpg"
"Purbird","82 Sixth Ave","11217","American (New) Chicken Shop ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/IEiOd4Kb5DbjX75fTVqTiQ/o.jpg"
"Moloko","705 Myrtle Ave","11205","Cocktail Bars American (New) Beer, Wine & Spirits ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/X4wZgPwHOEW8ptsEBzNhEw/o.jpg"
