"restaurant_name","address","zip_code","restaurant_style","rating_count","avg_rating","price_range","image"
"Papa Cristo's","2771 W Pico Blvd","90006","Greek Mediterranean ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/j142gPPsr9fgXBB72cBldw/o.jpg"
"786 Degrees","8879 Laurel Canyon Blvd","91352","Pizza Halal Italian ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/WDoA_ALQN-ld2G0jsoCSnw/o.jpg"
"MJ's Grill","7265 Melrose Ave","90046","Burgers American (New) Chicken Wings ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/Fnt_uWLLTRBroYjGomD--w/o.jpg"
"HauteMess Gourmet Market","7673 Beverly Blvd","90036","Coffee & Tea Cheese Shops Sandwiches ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/M1hMch5AWQpcGyL3ivmmrA/o.jpg"
"Yang Chow","819 N Broadway","90012","Chinese Seafood Noodles ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/IE5gIT5gXcS82yJAyxnG6g/o.jpg"
"TAP The Asian Project - Downtown Burbank","130 N San Fernando Blvd","91502","Asian Fusion ",0,0,0,"https://s3-media2.fl.yelpcdn.com/bphoto/wJjSE0ulkyF6Cddk-0APow/o.jpg"
"Guerrilla Tacos","2000 E 7th St","90021","Tacos Cocktail Bars Venues & Event Spaces ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/71DQapP2Fafn-8Kck2IVww/o.jpg"
"Mendocino Farms","7100 Santa Monica Blvd","90046","Sandwiches Salad ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/nSJwiG5piKtMttBebzLd4w/o.jpg"
"Honeybird","3201 S Hoover St","90007","Southern Chicken Shop Desserts ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/iDsUJOAaEDA9Mb7WPUEtKg/o.jpg"
"Beut","450 S Western Ave","90020","Korean ",0,0,0,"https://s3-media2.fl.yelpcdn.com/bphoto/MfkL1sw4qH8dNPuiR3myHg/o.jpg"
"Nachos Lab","1322 W Rosecrans Ave","90247","Mexican ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/kd9ZLXJCaFY-yHnk-5811g/o.jpg"
"Malibu Farm Pier Cafe","23000 Pacific Coast Hwy","90265","Cafes ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/h-o5o0jgIkmV5qKtRDbUHg/o.jpg"
"Carney's Sunset Strip","8351 W Sunset Blvd","90069","Burgers Hot Dogs Sandwiches ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/Apj_Hpz40wFvdLC06MHYTQ/o.jpg"
"Mario's Peruvian & Seafood","5786 Melrose Ave","90038","Seafood Peruvian ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/a6kiULS1ljDmoSmLcpRJYw/o.jpg"
