"restaurant_name","address","zip_code","restaurant_style","rating_count","avg_rating","price_range","image"
"Karaage Burger","670 E 3rd Ave","94401","Burgers Asian Fusion Chicken Shop ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/nTqcrxcOKTcVAYgyfQdORg/o.jpg"
"Hotbird","","94129","Sandwiches Food Stands Chicken Shop ",0,0,0,"https://s3-media2.fl.yelpcdn.com/bphoto/ytsdRXm5AAWQHBzd8Sbz4A/o.jpg"
"World Wrapps","208 Corte Madera Town Ctr","94925","Wraps Bubble Tea Fast Food ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/UYqTUBZ_dcsuXc5MG2oEyg/o.jpg"
"Gai Chicken Rice","3463 16th St","94114","Thai Vietnamese Singaporean ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/9UQqHuLAZOIQC9AIaWMDWQ/o.jpg"
"Rooster & Rice","2211 Filbert St","94123","Chicken Shop Thai ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/I3KtXLlVpmq_Ugcv-PHj6Q/o.jpg"
"Morning Wood","260 El Camino Real","94066","Japanese Breakfast & Brunch Hawaiian ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/8QaAXxgt3ggbfCSxM-yaQg/o.jpg"
"Saucy Asian","3801 17th St","94114","Korean Asian Fusion Specialty Food ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/8p9cw2vuU8J_W0IzbAmJSQ/o.jpg"
"Derm Restaurant","3226 Geary Blvd","94118","Thai Breakfast & Brunch ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/weflTRWhCZimef6xIyZa6w/o.jpg"
"Lime Tree Southeast Asian Kitchen","450 Irving St","94122","Singaporean Malaysian Indonesian ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/iRZNWChTPlQO4VyqD5Q_hw/o.jpg"
"Konomama","4601 Geary Blvd","94118","Japanese Beer Bar ",0,0,0,"https://s3-media4.fl.yelpcdn.com/bphoto/ftjf5C_mGS4533mgwaYyIQ/o.jpg"
"Chubby Noodle","2205 Lombard St","94123","Asian Fusion Noodles ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/RTe4Pxx3Opk8NGBdjIErzQ/o.jpg"
"Zazang Korean Noodles","2340 Geary Blvd","94115","Korean Noodles Soup ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/KFTieLgFq4tgSx9-fpugGQ/o.jpg"
"Noosh","2001 Fillmore St","94115","Mediterranean ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/htZmQ5FmRZjYRujcb2T_WA/o.jpg"
"Souvla","531 Divisadero St","94117","Mediterranean Greek ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/kzOK8tthxodXt9_oSMlSnA/o.jpg"
"Burma Superstar","309 Clement St","94118","Burmese ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/CQljYYJrIWarCxsz02s-7A/o.jpg"
"Homeroom","400 40th St","94609","American (Traditional) Comfort Food ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/VwqaGmFHquEeI4_7_g5bXQ/o.jpg"
"Señor Sisig","","94104","Filipino Food Trucks Asian Fusion ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/APwsLvRELFVXHxDBRqFyAQ/o.jpg"
"Zazie","941 Cole St","94117","Breakfast & Brunch French ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/_JBubnL5rMAiU5D0Uos9zQ/o.jpg"
"The Codmother Fish & Chips","496 Beach St","94133","British Fish & Chips Seafood ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/jIiYLWAA1S-efjnkLJ29FQ/o.jpg"
"Nick's Crispy Tacos","1500 Broadway","94109","Mexican Sports Bars ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/hVCVrVFjEHwZqA5ujDfxfg/o.jpg"
"Hinodeya Ramen Bar","1737 Buchanan St","94115","Ramen ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/rs6UpqUf1oycGk0NuLQXlQ/o.jpg"
"Street Taco","1607 Haight St","94117","Mexican ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/a_Ksy7b9z5eSWZ9sxiH3Iw/o.jpg"
"Nari","1625 Post St","94115","Thai ",0,0,0,"https://s3-media3.fl.yelpcdn.com/bphoto/AMPXNeSbJct4SKsV2jIsfw/o.jpg"
"Rooster & Rice","125 Kearny St","94108","Thai ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/fRQ3by7-N-BQqjmzkZmvFg/o.jpg"
"Dumpling Kitchen","1935 Taraval St","94116","Chinese ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/6y5BHK9dSB2eQro4s27y-w/o.jpg"
"IPOT Plus","121 El Camino Real","94030","Hot Pot Chinese Chicken Wings ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/fvxBFgHovr_CZBrzDNQO8A/o.jpg"
"Basa Seafood Express","3064 24th St","94110","Seafood Sandwiches Burgers ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/QzX2xMO4ufH_pf0tDWa6HQ/o.jpg"
"El Burrito Express","1812 Divisadero St","94115","Mexican Seafood Breakfast & Brunch ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/3DfeEnSeJzk30dFhMMo52w/o.jpg"
"California Fish Grill","153-C Serramonte Ctr","94015","Fish & Chips Seafood Tacos ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/CaCDPfz0Z5X0hTEQdvKzHQ/o.jpg"
